AssetType,Year,Growth
Metals: Steel,1969,7.40%
Stocks: Dow Jones,1969,-15.20%
Stocks: S&P 500,1969,-8.20%
Cash & NCE: 3mo Tbills/CDs,1970,6.40%
Cash & NCE: Savings,1970,1.20%
Cash & NCE: US T-bond,1970,16.80%
Metals: Gold,1970,-12.50%
Metals: Silver,1970,-9.50%
Metals: Steel,1970,6.20%
Stocks: Dow Jones,1970,4.80%
Stocks: S&P 500,1970,3.60%
Cash & NCE: 3mo Tbills/CDs,1971,4.30%
Cash & NCE: Savings,1971,1.10%
Cash & NCE: US T-bond,1971,9.80%
Metals: Gold,1971,13.50%
Metals: Silver,1971,-14.70%
Metals: Steel,1971,13.00%
Stocks: Dow Jones,1971,6.10%
Stocks: NASDAQ,1971,0.00%
Stocks: S&P 500,1971,14.20%
Cash & NCE: 3mo Tbills/CDs,1972,4.10%
Cash & NCE: Savings,1972,1.20%
Cash & NCE: US T-bond,1972,2.80%
Metals: Gold,1972,42.50%
Metals: Silver,1972,41.80%
Metals: Steel,1972,-9.80%
Stocks: Dow Jones,1972,14.60%
Stocks: NASDAQ,1972,13.30%
Stocks: S&P 500,1972,18.80%
Cash & NCE: 3mo Tbills/CDs,1973,7.00%
Cash & NCE: Savings,1973,1.10%
Cash & NCE: US T-bond,1973,3.70%
Metals: Gold,1973,67.30%
Metals: Silver,1973,58.80%
Metals: Steel,1973,17.80%
Stocks: Dow Jones,1973,-16.60%
Stocks: NASDAQ,1973,-36.60%
Stocks: S&P 500,1973,-14.30%
Cash & NCE: 3mo Tbills/CDs,1974,7.80%
Cash & NCE: Savings,1974,1.20%
Cash & NCE: US T-bond,1974,2.00%
Metals: Gold,1974,63.60%
Metals: Silver,1974,40.00%
Metals: Steel,1974,28.60%
Stocks: Dow Jones,1974,-27.60%
Stocks: NASDAQ,1974,-42.20%
Stocks: S&P 500,1974,-25.90%
Cash & NCE: 3mo Tbills/CDs,1975,5.80%
Cash & NCE: Savings,1975,1.20%
Cash & NCE: US T-bond,1975,3.60%
Metals: Gold,1975,1.10%
Metals: Silver,1975,-7.00%
Metals: Steel,1975,5.90%
Stocks: Dow Jones,1975,38.30%
Stocks: NASDAQ,1975,21.30%
Stocks: S&P 500,1975,37.00%
Cash & NCE: 3mo Tbills/CDs,1976,5.00%
Cash & NCE: Savings,1976,1.20%
Cash & NCE: US T-bond,1976,16.00%
Metals: Gold,1976,-22.50%
Metals: Silver,1976,6.40%
Metals: Steel,1976,-0.80%
Stocks: Dow Jones,1976,17.90%
Stocks: NASDAQ,1976,20.20%
Stocks: S&P 500,1976,23.80%
Cash & NCE: 3mo Tbills/CDs,1977,5.30%
Cash & NCE: Savings,1977,1.20%
Cash & NCE: US T-bond,1977,1.30%
Metals: Gold,1977,18.30%
Metals: Silver,1977,8.30%
Metals: Steel,1977,12.00%
Stocks: Dow Jones,1977,-17.30%
Stocks: NASDAQ,1977,0.60%
Stocks: S&P 500,1977,-7.00%
Cash & NCE: 3mo Tbills/CDs,1978,7.20%
Cash & NCE: Savings,1978,1.20%
Cash & NCE: US T-bond,1978,-0.80%
Metals: Gold,1978,30.80%
Metals: Silver,1978,26.00%
Metals: Steel,1978,10.40%
Stocks: Dow Jones,1978,-3.10%
Stocks: NASDAQ,1978,3.00%
Stocks: S&P 500,1978,6.50%
Cash & NCE: 3mo Tbills/CDs,1979,10.10%
Cash & NCE: Savings,1979,1.20%
Cash & NCE: US T-bond,1979,0.70%
Metals: Gold,1979,58.70%
Metals: Silver,1979,267.50%
Metals: Steel,1979,0.00%
Stocks: Dow Jones,1979,4.20%
Stocks: NASDAQ,1979,13.10%
Stocks: S&P 500,1979,18.50%
Bonds: Barclays Aggregate,1980,2.70%
Bonds: High Yield,1980,-1.00%
Cash & NCE: 3mo Tbills/CDs,1980,11.40%
Cash & NCE: Savings,1980,1.20%
Cash & NCE: US T-bond,1980,-3.00%
Metals: Gold,1980,99.70%
Metals: Iron Ore,1980,0.00%
Metals: Silver,1980,-22.30%
Metals: Steel,1980,15.50%
Stocks: Dow Jones,1980,14.90%
Stocks: NASDAQ,1980,19.00%
Stocks: S&P 500,1980,31.70%
Bonds: Barclays Aggregate,1981,6.30%
Bonds: High Yield,1981,7.60%
Cash & NCE: 3mo Tbills/CDs,1981,14.00%
Cash & NCE: Savings,1981,1.10%
Cash & NCE: US T-bond,1981,8.20%
Metals: Gold,1981,-24.90%
Metals: Iron Ore,1981,0.00%
Metals: Silver,1981,-50.20%
Metals: Steel,1981,4.80%
Stocks: Dow Jones,1981,-9.20%
Stocks: NASDAQ,1981,-11.10%
Stocks: S&P 500,1981,-4.70%
Bonds: Barclays Aggregate,1982,32.70%
Bonds: High Yield,1982,32.50%
Cash & NCE: 3mo Tbills/CDs,1982,10.60%
Cash & NCE: Savings,1982,1.20%
Cash & NCE: US T-bond,1982,32.80%
Metals: Gold,1982,-18.30%
Metals: Iron Ore,1982,15.60%
Metals: Silver,1982,25.50%
Metals: Steel,1982,0.30%
Stocks: Dow Jones,1982,19.60%
Stocks: NASDAQ,1982,14.30%
Stocks: S&P 500,1982,20.40%
Bonds: Barclays Aggregate,1983,8.20%
Bonds: High Yield,1983,21.80%
Cash & NCE: 3mo Tbills/CDs,1983,8.60%
Cash & NCE: Savings,1983,1.20%
Cash & NCE: US T-bond,1983,3.20%
Metals: Gold,1983,13.00%
Metals: Iron Ore,1983,-10.70%
Metals: Silver,1983,-13.80%
Metals: Steel,1983,17.60%
Stocks: Dow Jones,1983,20.30%
Stocks: NASDAQ,1983,15.50%
Stocks: S&P 500,1983,22.30%
Bonds: Barclays Aggregate,1984,15.20%
Bonds: High Yield,1984,8.50%
Cash & NCE: 3mo Tbills/CDs,1984,9.50%
Cash & NCE: Savings,1984,1.20%
Cash & NCE: US T-bond,1984,13.70%
Metals: Gold,1984,-15.10%
Metals: Iron Ore,1984,-9.80%
Metals: Silver,1984,-26.60%
Metals: Steel,1984,10.00%
Stocks: Dow Jones,1984,-3.70%
Stocks: NASDAQ,1984,-14.70%
Stocks: S&P 500,1984,6.20%
Bonds: Barclays Aggregate,1985,22.10%
Bonds: High Yield,1985,26.10%
Cash & NCE: 3mo Tbills/CDs,1985,7.50%
Cash & NCE: Savings,1985,1.20%
Cash & NCE: US T-bond,1985,25.70%
Metals: Gold,1985,-12.00%
Metals: Iron Ore,1985,1.60%
Metals: Silver,1985,-12.00%
Metals: Steel,1985,9.10%
Stocks: Dow Jones,1985,27.70%
Stocks: NASDAQ,1985,26.70%
Stocks: S&P 500,1985,31.20%
Bonds: Barclays Aggregate,1986,15.30%
Bonds: High Yield,1986,16.50%
Cash & NCE: 3mo Tbills/CDs,1986,6.00%
Cash & NCE: Savings,1986,1.20%
Cash & NCE: US T-bond,1986,24.30%
Metals: Gold,1986,15.90%
Metals: Iron Ore,1986,-1.10%
Metals: Silver,1986,-8.90%
Metals: Steel,1986,0.40%
Stocks: Dow Jones,1986,22.60%
Stocks: NASDAQ,1986,6.20%
Stocks: S&P 500,1986,18.50%
Bonds: Barclays Aggregate,1987,2.80%
Bonds: High Yield,1987,4.60%
Cash & NCE: 3mo Tbills/CDs,1987,5.80%
Cash & NCE: Savings,1987,1.10%
Cash & NCE: US T-bond,1987,-5.00%
Metals: Gold,1987,21.40%
Metals: Iron Ore,1987,-3.70%
Metals: Silver,1987,26.60%
Metals: Steel,1987,-29.40%
Stocks: Dow Jones,1987,2.30%
Stocks: NASDAQ,1987,-9.20%
Stocks: S&P 500,1987,5.80%
Bonds: Barclays Aggregate,1988,7.90%
Bonds: High Yield,1988,15.30%
Cash & NCE: 3mo Tbills/CDs,1988,6.70%
Cash & NCE: Savings,1988,1.20%
Cash & NCE: US T-bond,1988,8.20%
Metals: Gold,1988,-2.10%
Metals: Iron Ore,1988,-3.90%
Metals: Silver,1988,-10.00%
Metals: Steel,1988,0.00%
Stocks: Dow Jones,1988,11.80%
Stocks: NASDAQ,1988,10.50%
Stocks: S&P 500,1988,16.50%
Bonds: Barclays Aggregate,1989,14.50%
Bonds: High Yield,1989,198.00%
Cash & NCE: 3mo Tbills/CDs,1989,8.10%
Cash & NCE: Savings,1989,1.20%
Cash & NCE: US T-bond,1989,17.70%
Metals: Gold,1989,-12.70%
Metals: Iron Ore,1989,14.50%
Metals: Silver,1989,-9.30%
Metals: Steel,1989,17.60%
Stocks: Dow Jones,1989,27.00%
Stocks: NASDAQ,1989,13.90%
Stocks: S&P 500,1989,31.50%
Bonds: Barclays Aggregate,1990,9.00%
Bonds: High Yield,1990,-8.50%
Cash & NCE: 3mo Tbills/CDs,1990,7.50%
Cash & NCE: Savings,1990,1.20%
Cash & NCE: US T-bond,1990,6.20%
Metals: Gold,1990,0.50%
Metals: Iron Ore,1990,16.80%
Metals: Silver,1990,-26.60%
Metals: Steel,1990,0.00%
Stocks: Dow Jones,1990,-4.30%
Stocks: NASDAQ,1990,-22.50%
Stocks: S&P 500,1990,-3.10%
Bonds: Barclays Aggregate,1991,16.00%
Bonds: High Yield,1991,43.20%
Cash & NCE: 3mo Tbills/CDs,1991,5.40%
Cash & NCE: Savings,1991,1.20%
Cash & NCE: US T-bond,1991,15.00%
Metals: Gold,1991,-5.60%
Metals: Iron Ore,1991,7.00%
Metals: Silver,1991,-3.90%
Metals: Steel,1991,5.00%
Stocks: Dow Jones,1991,20.30%
Stocks: NASDAQ,1991,52.20%
Stocks: S&P 500,1991,30.20%
Bonds: Barclays Aggregate,1992,7.40%
Bonds: High Yield,1992,18.30%
Cash & NCE: 3mo Tbills/CDs,1992,3.40%
Cash & NCE: Savings,1992,1.20%
Cash & NCE: US T-bond,1992,9.40%
Metals: Gold,1992,-5.10%
Metals: Iron Ore,1992,-4.80%
Metals: Silver,1992,-5.10%
Metals: Steel,1992,-19.00%
Stocks: Dow Jones,1992,4.20%
Stocks: NASDAQ,1992,12.20%
Stocks: S&P 500,1992,7.50%
Bonds: Barclays Aggregate,1993,9.80%
Bonds: High Yield,1993,18.30%
Cash & NCE: 3mo Tbills/CDs,1993,3.00%
Cash & NCE: Savings,1993,1.20%
Cash & NCE: US T-bond,1993,14.20%
Metals: Gold,1993,4.60%
Metals: Iron Ore,1993,-12.10%
Metals: Silver,1993,33.90%
Metals: Steel,1993,5.90%
Stocks: Dow Jones,1993,13.70%
Stocks: NASDAQ,1993,11.60%
Stocks: S&P 500,1993,10.00%
Bonds: Barclays Aggregate,1994,-2.90%
Bonds: High Yield,1994,-2.60%
Cash & NCE: 3mo Tbills/CDs,1994,4.30%
Cash & NCE: Savings,1994,1.20%
Cash & NCE: US T-bond,1994,-8.00%
Metals: Gold,1994,6.70%
Metals: Iron Ore,1994,-9.00%
Metals: Silver,1994,-4.00%
Metals: Steel,1994,5.50%
REIT: Industrial,1994,18.70%
REIT: Residential,1994,2.30%
REIT: Storage,1994,8.90%
Stocks: Dow Jones,1994,2.10%
Stocks: NASDAQ,1994,-5.70%
Stocks: S&P 500,1994,1.30%
Bonds: Barclays Aggregate,1995,18.50%
Bonds: High Yield,1995,22.40%
Cash & NCE: 3mo Tbills/CDs,1995,5.50%
Cash & NCE: Savings,1995,1.10%
Cash & NCE: US T-bond,1995,23.50%
Metals: Gold,1995,0.00%
Metals: Iron Ore,1995,7.20%
Metals: Silver,1995,7.90%
Metals: Steel,1995,0.00%
REIT: Industrial,1995,16.20%
REIT: Residential,1995,12.00%
REIT: Storage,1995,34.40%
Stocks: Dow Jones,1995,33.50%
Stocks: NASDAQ,1995,36.40%
Stocks: S&P 500,1995,37.20%
Bonds: Barclays Aggregate,1996,3.60%
Bonds: High Yield,1996,11.20%
Cash & NCE: 3mo Tbills/CDs,1996,5.00%
Cash & NCE: Savings,1996,1.20%
Cash & NCE: US T-bond,1996,1.40%
Metals: Gold,1996,0.90%
Metals: Iron Ore,1996,5.70%
Metals: Silver,1996,-8.10%
Metals: Steel,1996,0.00%
REIT: Industrial,1996,37.20%
REIT: Residential,1996,29.50%
REIT: Storage,1996,42.80%
Stocks: Dow Jones,1996,26.00%
Stocks: NASDAQ,1996,18.80%
Stocks: S&P 500,1996,22.70%
Bonds: Barclays Aggregate,1997,9.60%
Bonds: High Yield,1997,14.30%
Cash & NCE: 3mo Tbills/CDs,1997,5.10%
Cash & NCE: Savings,1997,1.20%
Cash & NCE: US T-bond,1997,9.90%
Metals: Gold,1997,-14.60%
Metals: Iron Ore,1997,0.50%
Metals: Silver,1997,25.70%
Metals: Steel,1997,5.30%
REIT: Industrial,1997,19.00%
REIT: Residential,1997,16.30%
REIT: Storage,1997,3.40%
Stocks: Dow Jones,1997,22.60%
Stocks: NASDAQ,1997,19.60%
Stocks: S&P 500,1997,33.10%
Bonds: Barclays Aggregate,1998,8.70%
Bonds: High Yield,1998,4.00%
Cash & NCE: 3mo Tbills/CDs,1998,4.80%
Cash & NCE: Savings,1998,1.30%
Cash & NCE: US T-bond,1998,14.90%
Metals: Gold,1998,-11.10%
Metals: Iron Ore,1998,2.80%
Metals: Silver,1998,-6.70%
Metals: Steel,1998,-5.00%
REIT: Industrial,1998,-11.70%
REIT: Residential,1998,-8.10%
REIT: Storage,1998,-7.20%
Stocks: Dow Jones,1998,16.10%
Stocks: NASDAQ,1998,37.30%
Stocks: S&P 500,1998,28.30%
Bonds: Barclays Aggregate,1999,-0.80%
Bonds: High Yield,1999,1.70%
Cash & NCE: 3mo Tbills/CDs,1999,4.60%
Cash & NCE: Savings,1999,1.10%
Cash & NCE: US T-bond,1999,-8.30%
Metals: Gold,1999,-5.20%
Metals: Iron Ore,1999,-11.00%
Metals: Silver,1999,-6.00%
Metals: Steel,1999,-10.50%
REIT: Industrial,1999,3.90%
REIT: Residential,1999,9.50%
REIT: Storage,1999,-8.00%
Stocks: Dow Jones,1999,25.20%
Stocks: NASDAQ,1999,80.70%
Stocks: S&P 500,1999,20.90%
Bonds: Barclays Aggregate,2000,11.60%
Bonds: High Yield,2000,-5.70%
Cash & NCE: 3mo Tbills/CDs,2000,5.80%
Cash & NCE: Savings,2000,1.20%
Cash & NCE: US T-bond,2000,16.70%
Metals: Gold,2000,0.10%
Metals: Iron Ore,2000,4.40%
Metals: Silver,2000,-5.10%
Metals: Steel,2000,0.00%
REIT: Industrial,2000,28.60%
REIT: Residential,2000,34.30%
REIT: Storage,2000,14.70%
Stocks: Dow Jones,2000,-6.20%
Stocks: NASDAQ,2000,-41.20%
Stocks: S&P 500,2000,-9.00%
Bonds: Barclays Aggregate,2001,8.40%
Bonds: High Yield,2001,5.40%
Cash & NCE: 3mo Tbills/CDs,2001,3.40%
Cash & NCE: Savings,2001,1.10%
Cash & NCE: US T-bond,2001,5.60%
Metals: Gold,2001,-2.90%
Metals: Iron Ore,2001,4.30%
Metals: Silver,2001,-11.70%
Metals: Steel,2001,0.00%
REIT: Industrial,2001,7.40%
REIT: Residential,2001,9.00%
REIT: Storage,2001,43.20%
Stocks: Dow Jones,2001,-7.10%
Stocks: NASDAQ,2001,-22.30%
Stocks: S&P 500,2001,-11.90%
Bonds: Barclays Aggregate,2002,10.30%
Bonds: High Yield,2002,-1.50%
Cash & NCE: 3mo Tbills/CDs,2002,1.60%
Cash & NCE: Savings,2002,1.20%
Cash & NCE: US T-bond,2002,15.10%
Metals: Gold,2002,14.30%
Metals: Iron Ore,2002,-2.40%
Metals: Silver,2002,5.20%
Metals: Steel,2002,5.90%
REIT: Industrial,2002,17.30%
REIT: Residential,2002,-6.00%
REIT: Storage,2002,0.60%
Stocks: Dow Jones,2002,-16.80%
Stocks: NASDAQ,2002,-33.10%
Stocks: S&P 500,2002,-22.00%
Bonds: Barclays Aggregate,2003,4.10%
Bonds: High Yield,2003,27.90%
Cash & NCE: 3mo Tbills/CDs,2003,1.00%
Cash & NCE: Savings,2003,1.10%
Cash & NCE: US T-bond,2003,0.40%
Metals: Gold,2003,17.30%
Metals: Iron Ore,2003,9.00%
Metals: Silver,2003,6.00%
Metals: Steel,2003,5.50%
REIT: Industrial,2003,33.10%
REIT: Residential,2003,25.90%
REIT: Storage,2003,38.10%
Stocks: Dow Jones,2003,25.30%
Stocks: NASDAQ,2003,47.30%
Stocks: S&P 500,2003,28.40%
Bonds: Barclays Aggregate,2004,4.30%
Bonds: High Yield,2004,12.00%
Cash & NCE: 3mo Tbills/CDs,2004,1.40%
Cash & NCE: Savings,2004,1.20%
Cash & NCE: US T-bond,2004,4.50%
Metals: Gold,2004,12.80%
Metals: Iron Ore,2004,18.60%
Metals: Silver,2004,36.80%
Metals: Steel,2004,42.00%
REIT: Industrial,2004,34.10%
REIT: Residential,2004,32.70%
REIT: Storage,2004,29.70%
Stocks: Dow Jones,2004,3.10%
Stocks: NASDAQ,2004,5.20%
Stocks: S&P 500,2004,10.70%
Bonds: Barclays Aggregate,2005,2.40%
Bonds: High Yield,2005,2.30%
Cash & NCE: 3mo Tbills/CDs,2005,3.20%
Cash & NCE: Savings,2005,1.10%
Cash & NCE: US T-bond,2005,2.90%
Metals: Gold,2005,8.50%
Metals: Iron Ore,2005,71.50%
Metals: Silver,2005,9.70%
Metals: Steel,2005,33.40%
REIT: Industrial,2005,15.40%
REIT: Residential,2005,13.70%
REIT: Storage,2005,26.50%
Stocks: Dow Jones,2005,-0.60%
Stocks: NASDAQ,2005,-1.90%
Stocks: S&P 500,2005,4.80%
Bonds: Barclays Aggregate,2006,4.30%
Bonds: High Yield,2006,11.90%
Cash & NCE: 3mo Tbills/CDs,2006,4.70%
Cash & NCE: Savings,2006,1.20%
Cash & NCE: US T-bond,2006,2.00%
Metals: Gold,2006,35.70%
Metals: Iron Ore,2006,19.00%
Metals: Silver,2006,57.80%
Metals: Steel,2006,16.60%
REIT: Industrial,2006,28.90%
REIT: Residential,2006,38.90%
REIT: Storage,2006,40.90%
Stocks: Dow Jones,2006,16.30%
Stocks: NASDAQ,2006,6.80%
Stocks: S&P 500,2006,15.60%
Bonds: Barclays Aggregate,2007,7.00%
Bonds: High Yield,2007,2.70%
Cash & NCE: 3mo Tbills/CDs,2007,4.40%
Cash & NCE: Savings,2007,1.20%
Cash & NCE: US T-bond,2007,10.20%
Metals: Gold,2007,15.20%
Metals: Iron Ore,2007,9.50%
Metals: Silver,2007,15.90%
Metals: Steel,2007,-14.30%
REIT: Industrial,2007,0.40%
REIT: Residential,2007,-25.20%
REIT: Storage,2007,-24.80%
Stocks: Dow Jones,2007,6.40%
Stocks: NASDAQ,2007,5.50%
Stocks: S&P 500,2007,5.50%
Bonds: Barclays Aggregate,2008,5.20%
Bonds: High Yield,2008,-26.20%
Cash & NCE: 3mo Tbills/CDs,2008,1.40%
Cash & NCE: Savings,2008,1.20%
Cash & NCE: US T-bond,2008,20.10%
Metals: Gold,2008,25.40%
Metals: Iron Ore,2008,68.10%
Metals: Silver,2008,12.00%
Metals: Steel,2008,38.50%
REIT: Industrial,2008,-67.50%
REIT: Residential,2008,-24.90%
REIT: Storage,2008,5.00%
Stocks: Dow Jones,2008,-33.80%
Stocks: NASDAQ,2008,-40.60%
Stocks: S&P 500,2008,-36.60%
Bonds: Barclays Aggregate,2009,5.90%
Bonds: High Yield,2009,54.20%
Cash & NCE: 3mo Tbills/CDs,2009,0.20%
Cash & NCE: Savings,2009,1.10%
Cash & NCE: US T-bond,2009,-11.10%
Metals: Gold,2009,11.50%
Metals: Iron Ore,2009,29.90%
Metals: Silver,2009,-2.10%
Metals: Steel,2009,-27.80%
REIT: Industrial,2009,12.20%
REIT: Residential,2009,30.80%
REIT: Storage,2009,8.40%
Stocks: Dow Jones,2009,18.80%
Stocks: NASDAQ,2009,40.00%
Stocks: S&P 500,2009,25.90%
Bonds: Barclays Aggregate,2010,6.50%
Bonds: High Yield,2010,14.40%
Cash & NCE: 3mo Tbills/CDs,2010,0.10%
Cash & NCE: Savings,2010,1.30%
Cash & NCE: US T-bond,2010,8.50%
Metals: Gold,2010,25.90%
Metals: Iron Ore,2010,83.40%
Metals: Silver,2010,37.60%
Metals: Steel,2010,16.60%
REIT: Industrial,2010,18.90%
REIT: Residential,2010,46.00%
REIT: Storage,2010,29.30%
Stocks: Dow Jones,2010,11.00%
Stocks: NASDAQ,2010,15.20%
Stocks: S&P 500,2010,14.80%
Bonds: Barclays Aggregate,2011,7.80%
Bonds: High Yield,2011,5.50%
Cash & NCE: 3mo Tbills/CDs,2011,0.10%
Cash & NCE: Savings,2011,1.10%
Cash & NCE: US T-bond,2011,16.00%
Metals: Gold,2011,28.30%
Metals: Iron Ore,2011,14.40%
Metals: Silver,2011,73.90%
Metals: Steel,2011,-3.10%
REIT: Industrial,2011,-5.20%
REIT: Residential,2011,15.40%
REIT: Storage,2011,35.20%
Stocks: Dow Jones,2011,5.50%
Stocks: NASDAQ,2011,-4.70%
Stocks: S&P 500,2011,2.10%
Bonds: Barclays Aggregate,2012,4.20%
Bonds: High Yield,2012,14.70%
Cash & NCE: 3mo Tbills/CDs,2012,0.10%
Cash & NCE: Savings,2012,1.20%
Cash & NCE: US T-bond,2012,3.00%
Metals: Gold,2012,6.20%
Metals: Iron Ore,2012,-23.40%
Metals: Silver,2012,-11.30%
Metals: Steel,2012,-3.20%
REIT: Industrial,2012,31.30%
REIT: Residential,2012,6.90%
REIT: Storage,2012,19.90%
Stocks: Dow Jones,2012,7.30%
Stocks: NASDAQ,2012,14.00%
Stocks: S&P 500,2012,15.90%
Bonds: Barclays Aggregate,2013,-2.00%
Bonds: High Yield,2013,7.50%
Cash & NCE: 3mo Tbills/CDs,2013,0.10%
Cash & NCE: Savings,2013,1.10%
Cash & NCE: US T-bond,2013,-9.10%
Metals: Gold,2013,-15.40%
Metals: Iron Ore,2013,5.30%
Metals: Silver,2013,-23.60%
Metals: Steel,2013,3.80%
REIT: Industrial,2013,7.40%
REIT: Residential,2013,-5.40%
REIT: Storage,2013,9.50%
Stocks: Dow Jones,2013,26.50%
Stocks: NASDAQ,2013,36.20%
Stocks: S&P 500,2013,32.20%
Bonds: Barclays Aggregate,2014,6.00%
Bonds: High Yield,2014,0.80%
Cash & NCE: 3mo Tbills/CDs,2014,0.00%
Cash & NCE: Savings,2014,1.20%
Cash & NCE: US T-bond,2014,10.80%
Metals: Gold,2014,-10.30%
Metals: Iron Ore,2014,-28.10%
Metals: Silver,2014,-19.80%
Metals: Steel,2014,-5.10%
REIT: Industrial,2014,21.00%
REIT: Residential,2014,40.00%
REIT: Storage,2014,31.40%
Stocks: Dow Jones,2014,7.50%
Stocks: NASDAQ,2014,12.60%
Stocks: S&P 500,2014,13.50%
Bonds: Barclays Aggregate,2015,0.60%
Bonds: High Yield,2015,-6.70%
Cash & NCE: 3mo Tbills/CDs,2015,0.10%
Cash & NCE: Savings,2015,1.20%
Cash & NCE: US T-bond,2015,1.30%
Metals: Gold,2015,-8.40%
Metals: Iron Ore,2015,-42.40%
Metals: Silver,2015,-17.80%
Metals: Steel,2015,-37.40%
REIT: Industrial,2015,2.60%
REIT: Residential,2015,17.10%
REIT: Storage,2015,40.60%
Stocks: Dow Jones,2015,-2.20%
Stocks: NASDAQ,2015,5.00%
Stocks: S&P 500,2015,1.40%
Bonds: Barclays Aggregate,2016,2.70%
Bonds: High Yield,2016,14.40%
Cash & NCE: 3mo Tbills/CDs,2016,0.30%
Cash & NCE: Savings,2016,1.20%
Cash & NCE: US T-bond,2016,0.70%
Metals: Gold,2016,7.80%
Metals: Iron Ore,2016,4.30%
Metals: Silver,2016,9.30%
Metals: Steel,2016,58.50%
REIT: Industrial,2016,30.70%
REIT: Residential,2016,4.50%
REIT: Storage,2016,-8.10%
Stocks: Dow Jones,2016,13.40%
Stocks: NASDAQ,2016,5.30%
Stocks: S&P 500,2016,11.80%
Bonds: Barclays Aggregate,2017,3.50%
Bonds: High Yield,2017,6.50%
Cash & NCE: 3mo Tbills/CDs,2017,0.90%
Cash & NCE: Savings,2017,1.10%
Cash & NCE: US T-bond,2017,2.80%
Metals: Gold,2017,0.50%
Metals: Silver,2017,-0.60%
Metals: Steel,2017,7.90%
REIT: Industrial,2017,20.60%
REIT: Residential,2017,6.60%
REIT: Storage,2017,3.70%
Stocks: Dow Jones,2017,25.10%
Stocks: NASDAQ,2017,25.60%
Stocks: S&P 500,2017,21.60%
Bonds: Barclays Aggregate,2018,-0.10%
Bonds: High Yield,2018,-3.30%
Cash & NCE: 3mo Tbills/CDs,2018,1.90%
Cash & NCE: Savings,2018,1.20%
Cash & NCE: US T-bond,2018,0.00%
Metals: Gold,2018,0.90%
Metals: Silver,2018,-7.90%
Metals: Steel,2018,12.10%
REIT: Industrial,2018,-2.50%
REIT: Residential,2018,3.10%
REIT: Storage,2018,2.90%
Stocks: Dow Jones,2018,-5.60%
Stocks: NASDAQ,2018,-5.60%
Stocks: S&P 500,2018,-4.20%
