AssetType,Year,Growth
High Yield Savings,1926,1.3%
High Yield Savings,1927,1.2%
High Yield Savings,1928,1.2%
High Yield Savings,1929,1.2%
High Yield Savings,1930,1.2%
High Yield Savings,1931,1.1%
High Yield Savings,1932,1.2%
High Yield Savings,1933,1.2%
High Yield Savings,1934,1.2%
High Yield Savings,1935,1.2%
High Yield Savings,1936,1.2%
High Yield Savings,1937,1.2%
High Yield Savings,1938,1.3%
High Yield Savings,1939,1.2%
High Yield Savings,1940,1.3%
High Yield Savings,1941,1.2%
High Yield Savings,1942,1.2%
High Yield Savings,1943,1.1%
High Yield Savings,1944,1.2%
High Yield Savings,1945,1.2%
High Yield Savings,1946,1.2%
High Yield Savings,1947,1.2%
High Yield Savings,1948,1.2%
High Yield Savings,1949,1.2%
High Yield Savings,1950,1.2%
High Yield Savings,1951,1.2%
High Yield Savings,1952,1.2%
High Yield Savings,1953,1.2%
High Yield Savings,1954,1.2%
High Yield Savings,1955,1.1%
High Yield Savings,1956,1.2%
High Yield Savings,1957,1.2%
High Yield Savings,1958,1.3%
High Yield Savings,1959,1.2%
High Yield Savings,1960,1.2%
High Yield Savings,1961,1.1%
High Yield Savings,1962,1.3%
High Yield Savings,1963,1.2%
High Yield Savings,1964,1.3%
High Yield Savings,1965,1.1%
High Yield Savings,1966,1.2%
High Yield Savings,1967,1.2%
High Yield Savings,1968,1.2%
High Yield Savings,1969,1.1%
High Yield Savings,1970,1.2%
High Yield Savings,1971,1.1%
High Yield Savings,1972,1.2%
High Yield Savings,1973,1.1%
High Yield Savings,1974,1.2%
High Yield Savings,1975,1.2%
High Yield Savings,1976,1.2%
High Yield Savings,1977,1.2%
High Yield Savings,1978,1.2%
High Yield Savings,1979,1.2%
High Yield Savings,1980,1.2%
High Yield Savings,1981,1.1%
High Yield Savings,1982,1.2%
High Yield Savings,1983,1.2%
High Yield Savings,1984,1.2%
High Yield Savings,1985,1.2%
High Yield Savings,1986,1.2%
High Yield Savings,1987,1.1%
High Yield Savings,1988,1.2%
High Yield Savings,1989,1.2%
High Yield Savings,1990,1.2%
High Yield Savings,1991,1.2%
High Yield Savings,1992,1.2%
High Yield Savings,1993,1.2%
High Yield Savings,1994,1.2%
High Yield Savings,1995,1.1%
High Yield Savings,1996,1.2%
High Yield Savings,1997,1.2%
High Yield Savings,1998,1.3%
High Yield Savings,1999,1.1%
High Yield Savings,2000,1.2%
High Yield Savings,2001,1.1%
High Yield Savings,2002,1.2%
High Yield Savings,2003,1.1%
High Yield Savings,2004,1.2%
High Yield Savings,2005,1.1%
High Yield Savings,2006,1.2%
High Yield Savings,2007,1.2%
High Yield Savings,2008,1.2%
High Yield Savings,2009,1.1%
High Yield Savings,2010,1.3%
High Yield Savings,2011,1.1%
High Yield Savings,2012,1.2%
High Yield Savings,2013,1.1%
High Yield Savings,2014,1.2%
High Yield Savings,2015,1.2%
High Yield Savings,2016,1.2%
High Yield Savings,2017,1.1%
High Yield Savings,2018,1.2%
High Yield Savings,2019,1.1%
