AssetType,Year,Growth
Gold,1951,0.0%
Gold,1952,-0.3%
Gold,1953,0.7%
Gold,1954,0.6%
Gold,1955,0.0%
Gold,1956,-0.1%
Gold,1957,-0.1%
Gold,1958,0.4%
Gold,1959,0.0%
Gold,1960,0.5%
Gold,1961,-0.1%
Gold,1962,-0.1%
Gold,1963,-0.4%
Gold,1964,0.0%
Gold,1965,0.1%
Gold,1966,0.0%
Gold,1967,-0.5%
Gold,1968,10.7%
Gold,1969,6.2%
Gold,1970,-12.5%
Gold,1971,13.5%
Gold,1972,42.5%
Gold,1973,67.3%
Gold,1974,63.6%
Gold,1975,1.1%
Gold,1976,-22.5%
Gold,1977,18.3%
Gold,1978,30.8%
Gold,1979,58.7%
Gold,1980,99.7%
Gold,1981,-24.9%
Gold,1982,-18.3%
Gold,1983,13.0%
Gold,1984,-15.1%
Gold,1985,-12.0%
Gold,1986,15.9%
Gold,1987,21.4%
Gold,1988,-2.1%
Gold,1989,-12.7%
Gold,1990,0.5%
Gold,1991,-5.6%
Gold,1992,-5.1%
Gold,1993,4.6%
Gold,1994,6.7%
Gold,1995,0.0%
Gold,1996,0.9%
Gold,1997,-14.6%
Gold,1998,-11.1%
Gold,1999,-5.2%
Gold,2000,0.1%
Gold,2001,-2.9%
Gold,2002,14.3%
Gold,2003,17.3%
Gold,2004,12.8%
Gold,2005,8.5%
Gold,2006,35.7%
Gold,2007,15.2%
Gold,2008,25.4%
Gold,2009,11.5%
Gold,2010,25.9%
Gold,2011,28.3%
Gold,2012,6.2%
Gold,2013,-15.4%
Gold,2014,-10.3%
Gold,2015,-8.4%
Gold,2016,7.8%
Gold,2017,0.5%
Gold,2018,0.9%
Gold,2019,9.8%
Silver,1833,0.0%
Silver,1834,0.0%
Silver,1835,0.0%
Silver,1836,0.0%
Silver,1837,4.4%
Silver,1838,-4.0%
Silver,1839,0.0%
Silver,1840,0.0%
Silver,1841,-0.3%
Silver,1842,0.1%
Silver,1843,-0.1%
Silver,1844,0.0%
Silver,1845,0.0%
Silver,1846,0.0%
Silver,1847,0.0%
Silver,1848,0.0%
Silver,1849,0.0%
Silver,1850,0.0%
Silver,1851,0.0%
Silver,1852,0.0%
Silver,1853,0.0%
Silver,1854,0.0%
Silver,1855,0.0%
Silver,1856,0.0%
Silver,1857,0.2%
Silver,1858,-0.2%
Silver,1859,0.0%
Silver,1860,0.0%
Silver,1861,0.0%
Silver,1862,32.3%
Silver,1863,14.2%
Silver,1864,50.6%
Silver,1865,-35.7%
Silver,1866,-6.5%
Silver,1867,-1.4%
Silver,1868,0.3%
Silver,1869,-10.2%
Silver,1870,-8.9%
Silver,1871,-1.3%
Silver,1872,2.6%
Silver,1873,-1.9%
Silver,1874,-0.7%
Silver,1875,-1.2%
Silver,1876,-5.7%
Silver,1877,-7.8%
Silver,1878,-9.2%
Silver,1879,4.0%
Silver,1880,-2.4%
Silver,1881,1.2%
Silver,1882,-2.7%
Silver,1883,1.0%
Silver,1884,-2.3%
Silver,1885,-4.8%
Silver,1886,-2.5%
Silver,1887,-3.6%
Silver,1888,-3.5%
Silver,1889,2.5%
Silver,1890,10.1%
Silver,1891,-9.5%
Silver,1892,-12.1%
Silver,1893,-16.3%
Silver,1894,-12.5%
Silver,1895,10.1%
Silver,1896,-1.9%
Silver,1897,-11.1%
Silver,1898,2.2%
Silver,1899,-0.5%
Silver,1900,8.0%
Silver,1901,-13.9%
Silver,1902,-12.7%
Silver,1903,15.0%
Silver,1904,9.3%
Silver,1905,7.0%
Silver,1906,6.3%
Silver,1907,-20.7%
Silver,1908,-10.5%
Silver,1909,7.1%
Silver,1910,4.5%
Silver,1911,0.5%
Silver,1912,15.1%
Silver,1913,-8.8%
Silver,1914,-13.9%
Silver,1915,11.5%
Silver,1916,35.1%
Silver,1917,18.6%
Silver,1918,13.3%
Silver,1919,31.1%
Silver,1920,-51.0%
Silver,1921,1.2%
Silver,1922,-3.0%
Silver,1923,1.1%
Silver,1924,6.5%
Silver,1925,0.0%
Silver,1926,-22.3%
Silver,1927,8.4%
Silver,1928,-1.0%
Silver,1929,-15.4%
Silver,1930,-32.4%
Silver,1931,-7.9%
Silver,1932,-16.4%
Silver,1933,72.0%
Silver,1934,24.5%
Silver,1935,7.4%
Silver,1936,-22.3%
Silver,1937,-3.5%
Silver,1938,-2.3%
Silver,1939,-18.2%
Silver,1940,-0.6%
Silver,1941,0.9%
Silver,1942,27.6%
Silver,1943,0.0%
Silver,1944,0.0%
Silver,1945,58.0%
Silver,1946,22.5%
Silver,1947,-14.0%
Silver,1948,-6.2%
Silver,1949,4.7%
Silver,1950,9.1%
Silver,1951,10.0%
Silver,1952,-5.3%
Silver,1953,2.4%
Silver,1954,0.0%
Silver,1955,6.1%
Silver,1956,1.0%
Silver,1957,-1.8%
Silver,1958,0.1%
Silver,1959,1.7%
Silver,1960,0.0%
Silver,1961,13.0%
Silver,1962,16.1%
Silver,1963,7.8%
Silver,1964,0.0%
Silver,1965,0.0%
Silver,1966,0.0%
Silver,1967,59.3%
Silver,1968,-4.9%
Silver,1969,-7.8%
Silver,1970,-9.5%
Silver,1971,-14.7%
Silver,1972,41.8%
Silver,1973,58.8%
Silver,1974,40.0%
Silver,1975,-7.0%
Silver,1976,6.4%
Silver,1977,8.3%
Silver,1978,26.0%
Silver,1979,267.5%
Silver,1980,-22.3%
Silver,1981,-50.2%
Silver,1982,25.5%
Silver,1983,-13.8%
Silver,1984,-26.6%
Silver,1985,-12.0%
Silver,1986,-8.9%
Silver,1987,26.6%
Silver,1988,-10.0%
Silver,1989,-9.3%
Silver,1990,-26.6%
Silver,1991,-3.9%
Silver,1992,-5.1%
Silver,1993,33.9%
Silver,1994,-4.0%
Silver,1995,7.9%
Silver,1996,-8.1%
Silver,1997,25.7%
Silver,1998,-6.7%
Silver,1999,-6.0%
Silver,2000,-5.1%
Silver,2001,-11.7%
Silver,2002,5.2%
Silver,2003,6.0%
Silver,2004,36.8%
Silver,2005,9.7%
Silver,2006,57.8%
Silver,2007,15.9%
Silver,2008,12.0%
Silver,2009,-2.1%
Silver,2010,37.6%
Silver,2011,73.9%
Silver,2012,-11.3%
Silver,2013,-23.6%
Silver,2014,-19.8%
Silver,2015,-17.8%
Silver,2016,9.3%
Silver,2017,-0.6%
Silver,2018,-7.9%
Silver,2019,3.2%
Steel,1900,0.0%
Steel,1901,-10.4%
Steel,1902,9.4%
Steel,1903,-1.1%
Steel,1904,-14.8%
Steel,1905,11.3%
Steel,1906,2.1%
Steel,1907,6.0%
Steel,1908,-7.6%
Steel,1909,-11.3%
Steel,1910,9.0%
Steel,1911,-11.7%
Steel,1912,-0.7%
Steel,1913,10.1%
Steel,1914,-16.4%
Steel,1915,13.8%
Steel,1916,89.3%
Steel,1917,40.6%
Steel,1918,-17.2%
Steel,1919,-15.9%
Steel,1920,22.9%
Steel,1921,-36.7%
Steel,1922,-10.1%
Steel,1923,37.1%
Steel,1924,-5.6%
Steel,1925,-7.2%
Steel,1926,-2.4%
Steel,1927,-7.5%
Steel,1928,1.5%
Steel,1929,2.7%
Steel,1930,-9.9%
Steel,1931,-5.8%
Steel,1932,-3.1%
Steel,1933,4.0%
Steel,1934,10.2%
Steel,1935,-0.5%
Steel,1936,6.5%
Steel,1937,25.1%
Steel,1938,-2.1%
Steel,1939,-6.8%
Steel,1940,-1.9%
Steel,1941,0.0%
Steel,1942,0.0%
Steel,1943,0.0%
Steel,1944,0.0%
Steel,1945,2.7%
Steel,1946,11.9%
Steel,1947,10.1%
Steel,1948,13.5%
Steel,1949,8.5%
Steel,1950,3.5%
Steel,1951,6.7%
Steel,1952,2.1%
Steel,1953,7.2%
Steel,1954,4.1%
Steel,1955,6.0%
Steel,1956,7.5%
Steel,1957,9.4%
Steel,1958,1.7%
Steel,1959,5.9%
Steel,1960,0.0%
Steel,1961,0.0%
Steel,1962,0.0%
Steel,1963,1.6%
Steel,1964,3.1%
Steel,1965,0.0%
Steel,1966,-0.8%
Steel,1967,0.8%
Steel,1968,3.1%
Steel,1969,7.4%
Steel,1970,6.2%
Steel,1971,13.0%
Steel,1972,-9.8%
Steel,1973,17.8%
Steel,1974,28.6%
Steel,1975,5.9%
Steel,1976,-0.8%
Steel,1977,12.0%
Steel,1978,10.4%
Steel,1979,0.0%
Steel,1980,15.5%
Steel,1981,4.8%
Steel,1982,0.3%
Steel,1983,17.6%
Steel,1984,10.0%
Steel,1985,9.1%
Steel,1986,0.4%
Steel,1987,-29.4%
Steel,1988,0.0%
Steel,1989,17.6%
Steel,1990,0.0%
Steel,1991,5.0%
Steel,1992,-19.0%
Steel,1993,5.9%
Steel,1994,5.5%
Steel,1995,0.0%
Steel,1996,0.0%
Steel,1997,5.3%
Steel,1998,-5.0%
Steel,1999,-10.5%
Steel,2000,0.0%
Steel,2001,0.0%
Steel,2002,5.9%
Steel,2003,5.5%
Steel,2004,42.0%
Steel,2005,33.4%
Steel,2006,16.6%
Steel,2007,-14.3%
Steel,2008,38.5%
Steel,2009,-27.8%
Steel,2010,16.6%
Steel,2011,-3.1%
Steel,2012,-3.2%
Steel,2013,3.8%
Steel,2014,-5.1%
Steel,2015,-37.4%
Steel,2016,58.5%
Steel,2017,7.9%
Steel,2018,12.1%
Steel,2019,-17.9%
