AssetType,Year,Growth
Aluminum,1982,-21.5%
Aluminum,1983,45.1%
Aluminum,1984,-13.0%
Aluminum,1985,-16.8%
Aluminum,1986,10.5%
Aluminum,1987,36.1%
Aluminum,1988,62.7%
Aluminum,1989,-23.4%
Aluminum,1990,-16.0%
Aluminum,1991,-20.5%
Aluminum,1992,-3.7%
Aluminum,1993,-9.3%
Aluminum,1994,29.4%
Aluminum,1995,22.3%
Aluminum,1996,-16.5%
Aluminum,1997,6.1%
Aluminum,1998,-15.1%
Aluminum,1999,0.2%
Aluminum,2000,14.1%
Aluminum,2001,-6.8%
Aluminum,2002,-6.6%
Aluminum,2003,6.1%
Aluminum,2004,19.9%
Aluminum,2005,10.6%
Aluminum,2006,35.4%
Aluminum,2007,2.6%
Aluminum,2008,-2.3%
Aluminum,2009,-35.3%
Aluminum,2010,30.2%
Aluminum,2011,10.5%
Aluminum,2012,-15.7%
Aluminum,2013,-8.7%
Aluminum,2014,1.1%
Aluminum,2015,-10.9%
Aluminum,2016,-3.6%
Lead ,1980,0.0%
Lead ,1981,-19.8%
Lead ,1982,-24.8%
Lead ,1983,-22.1%
Lead ,1984,3.9%
Lead ,1985,-11.6%
Lead ,1986,3.8%
Lead ,1987,47.0%
Lead ,1988,9.9%
Lead ,1989,2.6%
Lead ,1990,20.3%
Lead ,1991,-31.1%
Lead ,1992,-2.6%
Lead ,1993,-25.1%
Lead ,1994,34.7%
Lead ,1995,14.7%
Lead ,1996,23.0%
Lead ,1997,-19.5%
Lead ,1998,-15.4%
Lead ,1999,-4.8%
Lead ,2000,-9.5%
Lead ,2001,4.9%
Lead ,2002,-5.1%
Lead ,2003,13.7%
Lead ,2004,71.5%
Lead ,2005,10.5%
Lead ,2006,32.2%
Lead ,2007,100.2%
Lead ,2008,-18.8%
Lead ,2009,-17.9%
Lead ,2010,24.9%
Lead ,2011,11.8%
Lead ,2012,-14.0%
Lead ,2013,3.7%
Lead ,2014,-2.1%
Lead ,2015,-14.7%
Lead ,2016,4.4%
Zinc ,1980,0.0%
Zinc ,1981,11.2%
Zinc ,1982,-11.9%
Zinc ,1983,2.6%
Zinc ,1984,20.6%
Zinc ,1985,-15.0%
Zinc ,1986,-3.8%
Zinc ,1987,5.8%
Zinc ,1988,55.4%
Zinc ,1989,33.5%
Zinc ,1990,-8.4%
Zinc ,1991,-26.1%
Zinc ,1992,10.7%
Zinc ,1993,-22.4%
Zinc ,1994,3.6%
Zinc ,1995,3.3%
Zinc ,1996,-0.6%
Zinc ,1997,28.3%
Zinc ,1998,-22.1%
Zinc ,1999,5.0%
Zinc ,2000,4.8%
Zinc ,2001,-21.4%
Zinc ,2002,-12.2%
Zinc ,2003,6.3%
Zinc ,2004,26.6%
Zinc ,2005,31.7%
Zinc ,2006,136.6%
Zinc ,2007,-0.5%
Zinc ,2008,-42.0%
Zinc ,2009,-12.0%
Zinc ,2010,30.3%
Zinc ,2011,1.6%
Zinc ,2012,-11.2%
Zinc ,2013,-2.0%
Zinc ,2014,13.1%
Zinc ,2015,-10.6%
Zinc ,2016,8.2%
Copper ,1980,0.0%
Copper ,1981,-20.2%
Copper ,1982,-15.0%
Copper ,1983,7.5%
Copper ,1984,-13.5%
Copper ,1985,2.9%
Copper ,1986,-3.3%
Copper ,1987,30.0%
Copper ,1988,46.0%
Copper ,1989,9.5%
Copper ,1990,-6.5%
Copper ,1991,-12.1%
Copper ,1992,-2.3%
Copper ,1993,-16.2%
Copper ,1994,20.4%
Copper ,1995,27.2%
Copper ,1996,-21.8%
Copper ,1997,-0.8%
Copper ,1998,-27.3%
Copper ,1999,-4.9%
Copper ,2000,15.4%
Copper ,2001,-12.9%
Copper ,2002,-1.3%
Copper ,2003,14.0%
Copper ,2004,60.9%
Copper ,2005,28.4%
Copper ,2006,83.1%
Copper ,2007,5.9%
Copper ,2008,-2.4%
Copper ,2009,-25.8%
Copper ,2010,45.9%
Copper ,2011,17.0%
Copper ,2012,-9.8%
Copper ,2013,-7.9%
Copper ,2014,-6.4%
Copper ,2015,-19.7%
Copper ,2016,-11.7%
Nickel ,1980,0.0%
Nickel ,1981,-8.7%
Nickel ,1982,-18.7%
Nickel ,1983,-3.4%
Nickel ,1984,1.7%
Nickel ,1985,3.1%
Nickel ,1986,-20.6%
Nickel ,1987,25.3%
Nickel ,1988,182.8%
Nickel ,1989,-3.4%
Nickel ,1990,-33.4%
Nickel ,1991,-7.9%
Nickel ,1992,-14.1%
Nickel ,1993,-24.3%
Nickel ,1994,19.3%
Nickel ,1995,29.9%
Nickel ,1996,-8.7%
Nickel ,1997,-7.7%
Nickel ,1998,-33.2%
Nickel ,1999,29.8%
Nickel ,2000,43.8%
Nickel ,2001,-30.8%
Nickel ,2002,13.6%
Nickel ,2003,42.0%
Nickel ,2004,43.5%
Nickel ,2005,6.9%
Nickel ,2006,63.3%
Nickel ,2007,53.9%
Nickel ,2008,-43.1%
Nickel ,2009,-30.6%
Nickel ,2010,48.6%
Nickel ,2011,5.0%
Nickel ,2012,-23.4%
Nickel ,2013,-14.3%
Nickel ,2014,12.4%
Nickel ,2015,-29.8%
Nickel ,2016,-19.1%
Tin ,1980,0.0%
Tin ,1981,-15.5%
Tin ,1982,-9.5%
Tin ,1983,1.2%
Tin ,1984,-5.8%
Tin ,1985,-5.7%
Tin ,1986,-46.6%
Tin ,1987,8.6%
Tin ,1988,5.4%
Tin ,1989,21.0%
Tin ,1990,-28.7%
Tin ,1991,-8.0%
Tin ,1992,9.1%
Tin ,1993,-15.3%
Tin ,1994,5.7%
Tin ,1995,13.5%
Tin ,1996,-0.6%
Tin ,1997,-8.4%
Tin ,1998,-1.8%
Tin ,1999,-2.6%
Tin ,2000,0.8%
Tin ,2001,-17.4%
Tin ,2002,-9.5%
Tin ,2003,20.4%
Tin ,2004,73.4%
Tin ,2005,-12.9%
Tin ,2006,18.5%
Tin ,2007,65.6%
Tin ,2008,27.4%
Tin ,2009,-26.3%
Tin ,2010,49.7%
Tin ,2011,27.9%
Tin ,2012,-19.0%
Tin ,2013,5.6%
Tin ,2014,-1.7%
Tin ,2015,-26.6%
Tin ,2016,11.6%
Gold,1833,0.0%
Gold,1834,0.0%
Gold,1835,0.0%
Gold,1836,0.0%
Gold,1837,0.0%
Gold,1838,0.0%
Gold,1839,0.0%
Gold,1840,0.0%
Gold,1841,0.0%
Gold,1842,0.0%
Gold,1843,0.0%
Gold,1844,0.0%
Gold,1845,0.0%
Gold,1846,0.0%
Gold,1847,0.0%
Gold,1848,0.0%
Gold,1849,0.0%
Gold,1850,0.0%
Gold,1851,0.0%
Gold,1852,0.0%
Gold,1853,0.0%
Gold,1854,0.0%
Gold,1855,0.0%
Gold,1856,0.0%
Gold,1857,0.0%
Gold,1858,0.0%
Gold,1859,0.0%
Gold,1860,0.0%
Gold,1861,0.0%
Gold,1862,0.0%
Gold,1863,0.0%
Gold,1864,0.0%
Gold,1865,0.0%
Gold,1866,0.0%
Gold,1867,0.0%
Gold,1868,0.0%
Gold,1869,0.0%
Gold,1870,0.0%
Gold,1871,0.0%
Gold,1872,0.0%
Gold,1873,0.0%
Gold,1874,0.0%
Gold,1875,0.0%
Gold,1876,0.0%
Gold,1877,0.0%
Gold,1878,0.0%
Gold,1879,0.0%
Gold,1880,0.0%
Gold,1881,0.0%
Gold,1882,0.0%
Gold,1883,0.0%
Gold,1884,0.0%
Gold,1885,0.0%
Gold,1886,0.0%
Gold,1887,0.0%
Gold,1888,0.0%
Gold,1889,0.0%
Gold,1890,0.0%
Gold,1891,0.0%
Gold,1892,0.1%
Gold,1893,0.0%
Gold,1894,-0.1%
Gold,1895,0.0%
Gold,1896,0.3%
Gold,1897,0.0%
Gold,1898,0.0%
Gold,1899,-0.2%
Gold,1900,0.1%
Gold,1901,0.1%
Gold,1902,-0.1%
Gold,1903,-0.1%
Gold,1904,0.0%
Gold,1905,-0.2%
Gold,1906,-0.1%
Gold,1907,0.2%
Gold,1908,0.0%
Gold,1909,0.0%
Gold,1910,-0.2%
Gold,1911,0.0%
Gold,1912,0.0%
Gold,1913,0.0%
Gold,1914,0.4%
Gold,1915,0.0%
Gold,1916,0.0%
Gold,1917,0.0%
Gold,1918,0.0%
Gold,1919,-0.1%
Gold,1920,-0.1%
Gold,1921,-0.5%
Gold,1922,0.4%
Gold,1923,3.2%
Gold,1924,-3.0%
Gold,1925,-0.2%
Gold,1926,0.0%
Gold,1927,0.0%
Gold,1928,0.1%
Gold,1929,-0.1%
Gold,1930,0.1%
Gold,1931,-17.4%
Gold,1932,21.3%
Gold,1933,27.3%
Gold,1934,31.8%
Gold,1935,0.4%
Gold,1936,0.1%
Gold,1937,-0.2%
Gold,1938,0.2%
Gold,1939,-1.2%
Gold,1940,-1.7%
Gold,1941,0.0%
Gold,1942,0.0%
Gold,1943,0.0%
Gold,1944,0.0%
Gold,1945,2.5%
Gold,1946,0.0%
Gold,1947,0.0%
Gold,1948,0.0%
Gold,1949,-8.7%
Gold,1950,9.6%
Gold,1951,0.0%
Gold,1952,-0.3%
Gold,1953,0.7%
Gold,1954,0.6%
Gold,1955,0.0%
Gold,1956,-0.1%
Gold,1957,-0.1%
Gold,1958,0.4%
Gold,1959,0.0%
Gold,1960,0.5%
Gold,1961,-0.1%
Gold,1962,-0.1%
Gold,1963,-0.4%
Gold,1964,0.0%
Gold,1965,0.1%
Gold,1966,0.0%
Gold,1967,-0.5%
Gold,1968,10.7%
Gold,1969,6.2%
Gold,1970,-12.5%
Gold,1971,13.5%
Gold,1972,42.5%
Gold,1973,67.3%
Gold,1974,63.6%
Gold,1975,1.1%
Gold,1976,-22.5%
Gold,1977,18.3%
Gold,1978,30.8%
Gold,1979,58.7%
Gold,1980,99.7%
Gold,1981,-24.9%
Gold,1982,-18.3%
Gold,1983,13.0%
Gold,1984,-15.1%
Gold,1985,-12.0%
Gold,1986,15.9%
Gold,1987,21.4%
Gold,1988,-2.1%
Gold,1989,-12.7%
Gold,1990,0.5%
Gold,1991,-5.6%
Gold,1992,-5.1%
Gold,1993,4.6%
Gold,1994,6.7%
Gold,1995,0.0%
Gold,1996,0.9%
Gold,1997,-14.6%
Gold,1998,-11.1%
Gold,1999,-5.2%
Gold,2000,0.1%
Gold,2001,-2.9%
Gold,2002,14.3%
Gold,2003,17.3%
Gold,2004,12.8%
Gold,2005,8.5%
Gold,2006,35.7%
Gold,2007,15.2%
Gold,2008,25.4%
Gold,2009,11.5%
Gold,2010,25.9%
Gold,2011,28.3%
Gold,2012,6.2%
Gold,2013,-15.4%
Gold,2014,-10.3%
Gold,2015,-8.4%
Gold,2016,7.8%
Gold,2017,0.5%
Gold,2018,0.9%
Gold,2019,9.8%
Silver,1833,0.0%
Silver,1834,0.0%
Silver,1835,0.0%
Silver,1836,0.0%
Silver,1837,4.4%
Silver,1838,-4.0%
Silver,1839,0.0%
Silver,1840,0.0%
Silver,1841,-0.3%
Silver,1842,0.1%
Silver,1843,-0.1%
Silver,1844,0.0%
Silver,1845,0.0%
Silver,1846,0.0%
Silver,1847,0.0%
Silver,1848,0.0%
Silver,1849,0.0%
Silver,1850,0.0%
Silver,1851,0.0%
Silver,1852,0.0%
Silver,1853,0.0%
Silver,1854,0.0%
Silver,1855,0.0%
Silver,1856,0.0%
Silver,1857,0.2%
Silver,1858,-0.2%
Silver,1859,0.0%
Silver,1860,0.0%
Silver,1861,0.0%
Silver,1862,32.3%
Silver,1863,14.2%
Silver,1864,50.6%
Silver,1865,-35.7%
Silver,1866,-6.5%
Silver,1867,-1.4%
Silver,1868,0.3%
Silver,1869,-10.2%
Silver,1870,-8.9%
Silver,1871,-1.3%
Silver,1872,2.6%
Silver,1873,-1.9%
Silver,1874,-0.7%
Silver,1875,-1.2%
Silver,1876,-5.7%
Silver,1877,-7.8%
Silver,1878,-9.2%
Silver,1879,4.0%
Silver,1880,-2.4%
Silver,1881,1.2%
Silver,1882,-2.7%
Silver,1883,1.0%
Silver,1884,-2.3%
Silver,1885,-4.8%
Silver,1886,-2.5%
Silver,1887,-3.6%
Silver,1888,-3.5%
Silver,1889,2.5%
Silver,1890,10.1%
Silver,1891,-9.5%
Silver,1892,-12.1%
Silver,1893,-16.3%
Silver,1894,-12.5%
Silver,1895,10.1%
Silver,1896,-1.9%
Silver,1897,-11.1%
Silver,1898,2.2%
Silver,1899,-0.5%
Silver,1900,8.0%
Silver,1901,-13.9%
Silver,1902,-12.7%
Silver,1903,15.0%
Silver,1904,9.3%
Silver,1905,7.0%
Silver,1906,6.3%
Silver,1907,-20.7%
Silver,1908,-10.5%
Silver,1909,7.1%
Silver,1910,4.5%
Silver,1911,0.5%
Silver,1912,15.1%
Silver,1913,-8.8%
Silver,1914,-13.9%
Silver,1915,11.5%
Silver,1916,35.1%
Silver,1917,18.6%
Silver,1918,13.3%
Silver,1919,31.1%
Silver,1920,-51.0%
Silver,1921,1.2%
Silver,1922,-3.0%
Silver,1923,1.1%
Silver,1924,6.5%
Silver,1925,0.0%
Silver,1926,-22.3%
Silver,1927,8.4%
Silver,1928,-1.0%
Silver,1929,-15.4%
Silver,1930,-32.4%
Silver,1931,-7.9%
Silver,1932,-16.4%
Silver,1933,72.0%
Silver,1934,24.5%
Silver,1935,7.4%
Silver,1936,-22.3%
Silver,1937,-3.5%
Silver,1938,-2.3%
Silver,1939,-18.2%
Silver,1940,-0.6%
Silver,1941,0.9%
Silver,1942,27.6%
Silver,1943,0.0%
Silver,1944,0.0%
Silver,1945,58.0%
Silver,1946,22.5%
Silver,1947,-14.0%
Silver,1948,-6.2%
Silver,1949,4.7%
Silver,1950,9.1%
Silver,1951,10.0%
Silver,1952,-5.3%
Silver,1953,2.4%
Silver,1954,0.0%
Silver,1955,6.1%
Silver,1956,1.0%
Silver,1957,-1.8%
Silver,1958,0.1%
Silver,1959,1.7%
Silver,1960,0.0%
Silver,1961,13.0%
Silver,1962,16.1%
Silver,1963,7.8%
Silver,1964,0.0%
Silver,1965,0.0%
Silver,1966,0.0%
Silver,1967,59.3%
Silver,1968,-4.9%
Silver,1969,-7.8%
Silver,1970,-9.5%
Silver,1971,-14.7%
Silver,1972,41.8%
Silver,1973,58.8%
Silver,1974,40.0%
Silver,1975,-7.0%
Silver,1976,6.4%
Silver,1977,8.3%
Silver,1978,26.0%
Silver,1979,267.5%
Silver,1980,-22.3%
Silver,1981,-50.2%
Silver,1982,25.5%
Silver,1983,-13.8%
Silver,1984,-26.6%
Silver,1985,-12.0%
Silver,1986,-8.9%
Silver,1987,26.6%
Silver,1988,-10.0%
Silver,1989,-9.3%
Silver,1990,-26.6%
Silver,1991,-3.9%
Silver,1992,-5.1%
Silver,1993,33.9%
Silver,1994,-4.0%
Silver,1995,7.9%
Silver,1996,-8.1%
Silver,1997,25.7%
Silver,1998,-6.7%
Silver,1999,-6.0%
Silver,2000,-5.1%
Silver,2001,-11.7%
Silver,2002,5.2%
Silver,2003,6.0%
Silver,2004,36.8%
Silver,2005,9.7%
Silver,2006,57.8%
Silver,2007,15.9%
Silver,2008,12.0%
Silver,2009,-2.1%
Silver,2010,37.6%
Silver,2011,73.9%
Silver,2012,-11.3%
Silver,2013,-23.6%
Silver,2014,-19.8%
Silver,2015,-17.8%
Silver,2016,9.3%
Silver,2017,-0.6%
Silver,2018,-7.9%
Silver,2019,3.2%
Steel,1900,0.0%
Steel,1901,-10.4%
Steel,1902,9.4%
Steel,1903,-1.1%
Steel,1904,-14.8%
Steel,1905,11.3%
Steel,1906,2.1%
Steel,1907,6.0%
Steel,1908,-7.6%
Steel,1909,-11.3%
Steel,1910,9.0%
Steel,1911,-11.7%
Steel,1912,-0.7%
Steel,1913,10.1%
Steel,1914,-16.4%
Steel,1915,13.8%
Steel,1916,89.3%
Steel,1917,40.6%
Steel,1918,-17.2%
Steel,1919,-15.9%
Steel,1920,22.9%
Steel,1921,-36.7%
Steel,1922,-10.1%
Steel,1923,37.1%
Steel,1924,-5.6%
Steel,1925,-7.2%
Steel,1926,-2.4%
Steel,1927,-7.5%
Steel,1928,1.5%
Steel,1929,2.7%
Steel,1930,-9.9%
Steel,1931,-5.8%
Steel,1932,-3.1%
Steel,1933,4.0%
Steel,1934,10.2%
Steel,1935,-0.5%
Steel,1936,6.5%
Steel,1937,25.1%
Steel,1938,-2.1%
Steel,1939,-6.8%
Steel,1940,-1.9%
Steel,1941,0.0%
Steel,1942,0.0%
Steel,1943,0.0%
Steel,1944,0.0%
Steel,1945,2.7%
Steel,1946,11.9%
Steel,1947,10.1%
Steel,1948,13.5%
Steel,1949,8.5%
Steel,1950,3.5%
Steel,1951,6.7%
Steel,1952,2.1%
Steel,1953,7.2%
Steel,1954,4.1%
Steel,1955,6.0%
Steel,1956,7.5%
Steel,1957,9.4%
Steel,1958,1.7%
Steel,1959,5.9%
Steel,1960,0.0%
Steel,1961,0.0%
Steel,1962,0.0%
Steel,1963,1.6%
Steel,1964,3.1%
Steel,1965,0.0%
Steel,1966,-0.8%
Steel,1967,0.8%
Steel,1968,3.1%
Steel,1969,7.4%
Steel,1970,6.2%
Steel,1971,13.0%
Steel,1972,-9.8%
Steel,1973,17.8%
Steel,1974,28.6%
Steel,1975,5.9%
Steel,1976,-0.8%
Steel,1977,12.0%
Steel,1978,10.4%
Steel,1979,0.0%
Steel,1980,15.5%
Steel,1981,4.8%
Steel,1982,0.3%
Steel,1983,17.6%
Steel,1984,10.0%
Steel,1985,9.1%
Steel,1986,0.4%
Steel,1987,-29.4%
Steel,1988,0.0%
Steel,1989,17.6%
Steel,1990,0.0%
Steel,1991,5.0%
Steel,1992,-19.0%
Steel,1993,5.9%
Steel,1994,5.5%
Steel,1995,0.0%
Steel,1996,0.0%
Steel,1997,5.3%
Steel,1998,-5.0%
Steel,1999,-10.5%
Steel,2000,0.0%
Steel,2001,0.0%
Steel,2002,5.9%
Steel,2003,5.5%
Steel,2004,42.0%
Steel,2005,33.4%
Steel,2006,16.6%
Steel,2007,-14.3%
Steel,2008,38.5%
Steel,2009,-27.8%
Steel,2010,16.6%
Steel,2011,-3.1%
Steel,2012,-3.2%
Steel,2013,3.8%
Steel,2014,-5.1%
Steel,2015,-37.4%
Steel,2016,58.5%
Steel,2017,7.9%
Steel,2018,12.1%
Steel,2019,-17.9%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
