AssetType,Year,Growth
Dow Jones,1930,-33.80%
Dow Jones,1931,-52.70%
Dow Jones,1932,-23.10%
Dow Jones,1933,66.70%
Dow Jones,1934,4.10%
Dow Jones,1935,38.50%
Dow Jones,1936,24.80%
Dow Jones,1937,-32.80%
Dow Jones,1938,28.10%
Dow Jones,1939,-2.90%
Dow Jones,1940,-12.70%
Dow Jones,1941,-15.40%
Dow Jones,1942,7.60%
Dow Jones,1943,13.80%
Dow Jones,1944,12.10%
Dow Jones,1945,26.60%
Dow Jones,1946,-8.10%
Dow Jones,1947,2.20%
Dow Jones,1948,-2.10%
Dow Jones,1949,12.90%
Dow Jones,1950,17.60%
Dow Jones,1951,14.40%
Dow Jones,1952,8.40%
Dow Jones,1953,-3.80%
Dow Jones,1954,44.00%
Dow Jones,1955,20.80%
Dow Jones,1956,2.30%
Dow Jones,1957,-12.80%
Dow Jones,1958,34.00%
Dow Jones,1959,16.40%
Dow Jones,1960,-9.30%
Dow Jones,1961,18.70%
Dow Jones,1962,-10.80%
Dow Jones,1963,17.00%
Dow Jones,1964,14.60%
Dow Jones,1965,10.90%
Dow Jones,1966,-18.90%
Dow Jones,1967,15.20%
Dow Jones,1968,4.30%
Dow Jones,1969,-15.20%
Dow Jones,1970,4.80%
Dow Jones,1971,6.10%
Dow Jones,1972,14.60%
Dow Jones,1973,-16.60%
Dow Jones,1974,-27.60%
Dow Jones,1975,38.30%
Dow Jones,1976,17.90%
Dow Jones,1977,-17.30%
Dow Jones,1978,-3.10%
Dow Jones,1979,4.20%
Dow Jones,1980,14.90%
Dow Jones,1981,-9.20%
Dow Jones,1982,19.60%
Dow Jones,1983,20.30%
Dow Jones,1984,-3.70%
Dow Jones,1985,27.70%
Dow Jones,1986,22.60%
Dow Jones,1987,2.30%
Dow Jones,1988,11.80%
Dow Jones,1989,27.00%
Dow Jones,1990,-4.30%
Dow Jones,1991,20.30%
Dow Jones,1992,4.20%
Dow Jones,1993,13.70%
Dow Jones,1994,2.10%
Dow Jones,1995,33.50%
Dow Jones,1996,26.00%
Dow Jones,1997,22.60%
Dow Jones,1998,16.10%
Dow Jones,1999,25.20%
Dow Jones,2000,-6.20%
Dow Jones,2001,-7.10%
Dow Jones,2002,-16.80%
Dow Jones,2003,25.30%
Dow Jones,2004,3.10%
Dow Jones,2005,-0.60%
Dow Jones,2006,16.30%
Dow Jones,2007,6.40%
Dow Jones,2008,-33.80%
Dow Jones,2009,18.80%
Dow Jones,2010,11.00%
Dow Jones,2011,5.50%
Dow Jones,2012,7.30%
Dow Jones,2013,26.50%
Dow Jones,2014,7.50%
Dow Jones,2015,-2.20%
Dow Jones,2016,13.40%
Dow Jones,2017,25.10%
Dow Jones,2018,-5.60%
Dow Jones,2019,22.30%
NASDAQ,1971,0.0%
NASDAQ,1972,13.3%
NASDAQ,1973,-36.6%
NASDAQ,1974,-42.2%
NASDAQ,1975,21.3%
NASDAQ,1976,20.2%
NASDAQ,1977,0.6%
NASDAQ,1978,3.0%
NASDAQ,1979,13.1%
NASDAQ,1980,19.0%
NASDAQ,1981,-11.1%
NASDAQ,1982,14.3%
NASDAQ,1983,15.5%
NASDAQ,1984,-14.7%
NASDAQ,1985,26.7%
NASDAQ,1986,6.2%
NASDAQ,1987,-9.2%
NASDAQ,1988,10.5%
NASDAQ,1989,13.9%
NASDAQ,1990,-22.5%
NASDAQ,1991,52.2%
NASDAQ,1992,12.2%
NASDAQ,1993,11.6%
NASDAQ,1994,-5.7%
NASDAQ,1995,36.4%
NASDAQ,1996,18.8%
NASDAQ,1997,19.6%
NASDAQ,1998,37.3%
NASDAQ,1999,80.7%
NASDAQ,2000,-41.2%
NASDAQ,2001,-22.3%
NASDAQ,2002,-33.1%
NASDAQ,2003,47.3%
NASDAQ,2004,5.2%
NASDAQ,2005,-1.9%
NASDAQ,2006,6.8%
NASDAQ,2007,5.5%
NASDAQ,2008,-40.6%
NASDAQ,2009,40.0%
NASDAQ,2010,15.2%
NASDAQ,2011,-4.7%
NASDAQ,2012,14.0%
NASDAQ,2013,36.2%
NASDAQ,2014,12.6%
NASDAQ,2015,5.0%
NASDAQ,2016,5.3%
NASDAQ,2017,25.6%
NASDAQ,2018,-5.6%
NASDAQ,2019,32.2%
